marca,sku,cat,producto,combinado,url
C.A Mejía & Cía,12016008S016158,Ferretería,"Puntilla Lisa CC 4"" - in 400 g","C.A Mejía & Cía Ferretería Puntilla Lisa CC 4"" - in 400 g",https://s3.amazonaws.com/co-prod-shared-images/23626cb3-1783-4bc0-89d5-cc0f0ef6d7e7
C.A Mejía & Cía,12016008S016139,Ferretería,"Clavo Acero Vertical - 3 /4""","C.A Mejía & Cía Ferretería Clavo Acero Vertical - 3 /4""",https://s3.amazonaws.com/co-prod-shared-images/325f4932-5341-47f3-9647-25820021435d
C.A Mejía & Cía,12010108S016219,Ferretería,Grapa Plast. Red - # 6 x 50 und,C.A Mejía & Cía Ferretería Grapa Plast. Red - # 6 x 50 und,https://s3.amazonaws.com/co-prod-shared-images/b1e061bd-385e-48de-8b64-77e1b69fc128
C.A Mejía & Cía,12011508S016185,Ferretería,"Tornillo de Tapado Drywall 6 x 2""","C.A Mejía & Cía Ferretería Tornillo de Tapado Drywall 6 x 2""",https://s3.amazonaws.com/co-prod-shared-images/0b3f1516-6d3a-408b-bbbd-7d6d9b4307e9
C.A Mejía & Cía,12016008S016124,Ferretería,"Clavo Acero Liso - 3/4"" - Pavonado","C.A Mejía & Cía Ferretería Clavo Acero Liso - 3/4"" - Pavonado",https://s3.amazonaws.com/co-prod-shared-images/c6949c02-7d68-4ab8-9c21-d9be5942ea38
C.A Mejía & Cía,12010108S016216,Ferretería,Grapa Plast. Cuad - 2 - 14 x 50 und,C.A Mejía & Cía Ferretería Grapa Plast. Cuad - 2 - 14 x 50 und,https://s3.amazonaws.com/co-prod-shared-images/6ad49f0a-e860-4db5-b126-a93ef6a6738b
C.A Mejía & Cía,12016008S016157,Ferretería,"Puntilla Lisa CC 3-1/2"" - in 400 g","C.A Mejía & Cía Ferretería Puntilla Lisa CC 3-1/2"" - in 400 g",https://s3.amazonaws.com/co-prod-shared-images/29ab9dcb-b022-4beb-8ef4-65409f789bb1
Calidra,1001200D5023702,Quimicos-Polvos,Cal Hidratada de 25 kg,Calidra Quimicos-Polvos Cal Hidratada de 25 kg,https://s3.amazonaws.com/mx-prod-shared-images/672c18bf-5ac3-4246-8fb1-43a27752a7d3
Cazafacil,2505100ES042223,Ferretería,Trampa Pegamento Ratón - Caja C/2 Charolas,Cazafacil Ferretería Trampa Pegamento Ratón - Caja C/2 Charolas,https://s3.amazonaws.com/mx-prod-shared-images/5fd94828-7242-4052-9546-91e9a2104a5a
Cazafacil,2505100ES042224,Ferretería,Trampa Pegamento Rata - Caja C/2 Charolas,Cazafacil Ferretería Trampa Pegamento Rata - Caja C/2 Charolas,https://s3.amazonaws.com/mx-prod-shared-images/504c8a6d-9681-41bb-9f3d-73adf4d7330b
Cazafacil,2505100ES042225,Ferretería,Trampa Pegamento Moscas C/4 Rollos,Cazafacil Ferretería Trampa Pegamento Moscas C/4 Rollos,https://s3.amazonaws.com/mx-prod-shared-images/e830060c-ee03-4d22-8df4-00d119f5bec5
Celta,16020701X033364,Plomería,"Tapón Presión Soldado 1/2""","Celta Plomería Tapón Presión Soldado 1/2""",https://s3.amazonaws.com/co-prod-shared-images/4a695374-954f-461a-8cb9-ccd77d2dc133
Celta,16010011X033349,Plomería,"Tubo Presión RDE 13,5 - 1/2"" - 6m","Celta Plomería Tubo Presión RDE 13,5 - 1/2"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/d67e106d-5318-4d4b-a77b-742622652705
Celta,16020301X033356,Plomería,"Codo Presión 90° 1/2"" Soldado","Celta Plomería Codo Presión 90° 1/2"" Soldado",https://s3.amazonaws.com/co-prod-shared-images/54e81c74-32e8-415e-bc24-487bcd8a2b5f
Celta,16021501X033427,Plomería,"Unión Sanitaria 3""","Celta Plomería Unión Sanitaria 3""",https://s3.amazonaws.com/co-prod-shared-images/50953694-4270-41cf-a2f2-7a49e78157de
Celta,16013001X033370,Plomería,"Tubo CPVC 1/2"" - 3m","Celta Plomería Tubo CPVC 1/2"" - 3m",https://s3.amazonaws.com/co-prod-shared-images/abb839d4-4d47-4f43-bb5a-45039bfda433
Celta,16011001X033390,Plomería,"Tubo Sanitario línea azul 2"" - 6 m","Celta Plomería Tubo Sanitario línea azul 2"" - 6 m",https://s3.amazonaws.com/co-prod-shared-images/8baa8d8f-6169-4a94-9bf2-1a144ba7b509
Celta,16012001X033394,Plomería,"Tubo Ventilación 3"" - 6m","Celta Plomería Tubo Ventilación 3"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/44c2a723-ed4c-4ab6-a2e0-f0c1256d9d78
Celta,16011001X033386,Plomería,"Tubo Sanitario 2"" - 6 m","Celta Plomería Tubo Sanitario 2"" - 6 m",https://s3.amazonaws.com/co-prod-shared-images/eb73df13-9d3a-426c-9a9f-697af5a4c5de
Celta,16021301X033402,Plomería,"Codo Sanitario 90º CxC 3""","Celta Plomería Codo Sanitario 90º CxC 3""",https://s3.amazonaws.com/co-prod-shared-images/04e1ce2e-3006-4b52-a731-d68c9ad131b8
Celta,16021301X033401,Plomería,"Codo Sanitario 90º CxC 2""","Celta Plomería Codo Sanitario 90º CxC 2""",https://s3.amazonaws.com/co-prod-shared-images/f3b5b41e-dd4d-4ab8-85a2-daa84d40d157
Celta,16020101X018909,Plomería,"Adaptador Presión Hembra 1/2""","Celta Plomería Adaptador Presión Hembra 1/2""",https://s3.amazonaws.com/co-prod-shared-images/31f6dee5-958a-4a5f-be30-ac1b79516c18
Celta,16050011X033440,Plomería,Soldadura PVC 1/32 Gal,Celta Plomería Soldadura PVC 1/32 Gal,https://s3.amazonaws.com/co-prod-shared-images/86416e62-9341-405a-8125-2e26f1625cc0
Celta,16050011X033438,Plomería,Soldadura PVC 1/128 Gal,Celta Plomería Soldadura PVC 1/128 Gal,https://s3.amazonaws.com/co-prod-shared-images/99205365-8dbe-4f1f-af54-bf071ab134b8
Celta,16010019G033347,Plomería,"Tubo Presión RDE 9 - 1/2"" - 6m","Celta Plomería Tubo Presión RDE 9 - 1/2"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/4767a6c9-3bd9-4261-9842-ece376d5f46f
Celta,16011001X033389,Plomería,"Tubo Sanitario línea azul 1-1/2"" - 6m","Celta Plomería Tubo Sanitario línea azul 1-1/2"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/c8cbc508-00e1-465e-86fc-a94b4174f050
Celta,16011001X033391,Plomería,"Tubo Sanitario línea azul 3"" - 6m","Celta Plomería Tubo Sanitario línea azul 3"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/7696824f-c41d-42ef-b5ad-9673ba99db33
Celta,16021801X033397,Plomería,"Buje Sanitario 3"" x 2""","Celta Plomería Buje Sanitario 3"" x 2""",https://s3.amazonaws.com/co-prod-shared-images/b7c27d18-06d9-4440-9aef-b7594914bb53
Celta,16010011X033350,Plomería,"Tubo Presión RDE 21 - 1"" - 6m","Celta Plomería Tubo Presión RDE 21 - 1"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/3c1d5303-1c13-4599-a574-e77918af7c76
Celta,16021801X033395,Plomería,"Buje Sanitario 2"" x 1-1/2""","Celta Plomería Buje Sanitario 2"" x 1-1/2""",https://s3.amazonaws.com/co-prod-shared-images/e4e7883e-0039-48d0-8dda-c85003222b85
Celta,16011001X033387,Plomería,"Tubo Sanitario 3"" - 6m","Celta Plomería Tubo Sanitario 3"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/95bf6377-a7c5-46b9-8e18-ff6039a821df
Celta,16020101X035338,Plomería,"Adaptador Presión Macho 1/2""","Celta Plomería Adaptador Presión Macho 1/2""",https://s3.amazonaws.com/co-prod-shared-images/19b9364b-64b4-4e60-ad96-6f2635be61f8
Celta,16020501X018908,Plomería,"Unión Presión 1/2""","Celta Plomería Unión Presión 1/2""",https://s3.amazonaws.com/co-prod-shared-images/2146f8f6-f866-4e90-9f9a-e1193e00b545
Celta,16010011X033351,Plomería,"Tubo Presión línea azul 1/2"" - 6m","Celta Plomería Tubo Presión línea azul 1/2"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/6131f361-8602-478e-ae11-53c665856409
Celta,16020501X033368,Plomería,"Unión Presión 3/4""","Celta Plomería Unión Presión 3/4""",https://s3.amazonaws.com/co-prod-shared-images/6cd44519-6b0a-4514-be04-c51e0d57960c
Celta,16022301X033375,Plomería,"Codo 90º CPVC 1/2""","Celta Plomería Codo 90º CPVC 1/2""",https://s3.amazonaws.com/co-prod-shared-images/314a462e-29d4-4e87-9aef-f2f630a7e42a
Celta,16021501X033426,Plomería,"Unión Sanitaria 2""","Celta Plomería Unión Sanitaria 2""",https://s3.amazonaws.com/co-prod-shared-images/4fcdcc05-f7a9-4eef-9600-68de4ddfcc71
Celta,16052001X033441,Plomería,Limpiador 1/128 Gal (28 gr),Celta Plomería Limpiador 1/128 Gal (28 gr),https://s3.amazonaws.com/co-prod-shared-images/0690d739-bd44-43e6-a035-e1d83803efca
Celta,16021701X033420,Plomería,"Tapón de Prueba Sanitario 2""","Celta Plomería Tapón de Prueba Sanitario 2""",https://s3.amazonaws.com/co-prod-shared-images/f1dd1888-0bee-441a-8548-8044da6f9552
Celta,16020401X033366,Plomería,"Tee Presión 1/2""","Celta Plomería Tee Presión 1/2""",https://s3.amazonaws.com/co-prod-shared-images/ad33b870-be61-4ab6-9452-a8bef5cae1fe
Celta,16021301X033400,Plomería,"Codo Sanitario 90º CxC 1-1/2""","Celta Plomería Codo Sanitario 90º CxC 1-1/2""",https://s3.amazonaws.com/co-prod-shared-images/4d749626-aaf8-4725-a8b9-73c3ace2ba23
Celta,17020011X033434,Plomería,"Tubo Conduit 3/4"" - 3m","Celta Plomería Tubo Conduit 3/4"" - 3m",https://s3.amazonaws.com/co-prod-shared-images/e6c4fceb-0f6c-4632-b0c3-9d8093539ced
Celta,16011001X033385,Plomería,"Tubo Sanitario 1-1/2"" - 6m","Celta Plomería Tubo Sanitario 1-1/2"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/cca15ed1-b4e2-4100-b4cd-a154a4d2df18
Celta,16050011X033439,Plomería,Soldadura PVC 1/64 Gal,Celta Plomería Soldadura PVC 1/64 Gal,https://s3.amazonaws.com/co-prod-shared-images/19b99c1f-5d6b-457a-bcb8-57f25f26ef09
Celta,16020701X033362,Plomería,"Tapón Presión Roscado 1/2""","Celta Plomería Tapón Presión Roscado 1/2""",https://s3.amazonaws.com/co-prod-shared-images/bc90a468-39ca-4bad-a278-4e098c79ee44
Celta,16020501X033369,Plomería,"Universal Soldable Presión 1/2""","Celta Plomería Universal Soldable Presión 1/2""",https://s3.amazonaws.com/co-prod-shared-images/1915fcfe-7f6b-4713-a8e7-d93ddddaf9aa
Celta,17020011X033433,Plomería,"Tubo Conduit 1/2"" - 3m","Celta Plomería Tubo Conduit 1/2"" - 3m",https://s3.amazonaws.com/co-prod-shared-images/29e1bc00-b96c-45ea-9f6c-8df166a94f3a
Celta,16021301X033405,Plomería,"Codo Sanitario 90º CxE 2""","Celta Plomería Codo Sanitario 90º CxE 2""",https://s3.amazonaws.com/co-prod-shared-images/1350d55d-3ffa-405e-95c6-8acc712c5745
Celta,16011001X033388,Plomería,"Tubo Sanitario 4"" - 6m","Celta Plomería Tubo Sanitario 4"" - 6m",https://s3.amazonaws.com/co-prod-shared-images/582f0e0a-c127-4a15-8d43-b9834fd60cb9
Celta,16021301X033410,Plomería,"Codo Sanitario 45º CxC 3""","Celta Plomería Codo Sanitario 45º CxC 3""",https://s3.amazonaws.com/co-prod-shared-images/e9d45565-b06f-48b4-bdc3-55be3683ea94
Celta,16022101X033372,Plomería,"Adaptador Macho CPVC 1/2""","Celta Plomería Adaptador Macho CPVC 1/2""",https://s3.amazonaws.com/co-prod-shared-images/fccf0946-928d-4d6c-bcbd-d95e28142b82
Celta,16020301X033355,Plomería,"Codo Presión 90º 1/2"" S-R","Celta Plomería Codo Presión 90º 1/2"" S-R",https://s3.amazonaws.com/co-prod-shared-images/f1ce8e50-9e84-499d-81fd-4c2ca55ced49
Celta,16021401X033424,Plomería,"Tee Sanitaria 3""","Celta Plomería Tee Sanitaria 3""",https://s3.amazonaws.com/co-prod-shared-images/3f859ebd-f772-4ead-8d54-81abf9db6521
Celta,16022501X033383,Plomería,"Unión Soldable CPVC 1/2""","Celta Plomería Unión Soldable CPVC 1/2""",https://s3.amazonaws.com/co-prod-shared-images/9b96b1a5-33b7-427b-8101-b43b558ad345
Cemix,15032008L022739,Quimicos-Polvos,Adeblok Ap Blanco - 40 kg,Cemix Quimicos-Polvos Adeblok Ap Blanco - 40 kg,https://s3.amazonaws.com/mx-prod-shared-images/2ce56dbf-dd91-4597-a6ad-393cd4c604f2
Cemix,19035008L010623,Quimicos-Polvos,PSP Porcelanico (PSP) x 20 kg,Cemix Quimicos-Polvos PSP Porcelanico (PSP) x 20 kg,https://s3.amazonaws.com/mx-prod-shared-images/8c8cfe70-e081-42c7-a73b-e6131efde46b
Clavos Nacionales,1201600T3030997,Ferretería,"Clavo Pulido c/Cabeza 4"" x 25 kg","Clavos Nacionales Ferretería Clavo Pulido c/Cabeza 4"" x 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/6e77b5f5-fcd7-4e5e-8907-c1753c5a9689
Clavos Nacionales,1201600T3042982,Ferretería,"Clavo Pulido c/Cabeza 1-1/2"" x 10 kg","Clavos Nacionales Ferretería Clavo Pulido c/Cabeza 1-1/2"" x 10 kg",https://s3.amazonaws.com/mx-prod-shared-images/9ff44c12-1635-4462-bb92-a90e5f528075
Clavos Nacionales,1201600T3042983,Ferretería,"Clavo Pulido c/Cabeza 2"" x 10 kg","Clavos Nacionales Ferretería Clavo Pulido c/Cabeza 2"" x 10 kg",https://s3.amazonaws.com/mx-prod-shared-images/6a0c94a7-2bcc-4409-8369-6d44debab8fb
Clavos Nacionales,1201600T3031002,Ferretería,"Clavo Concreto 2"" x 25 kg","Clavos Nacionales Ferretería Clavo Concreto 2"" x 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/e34a446e-5bb8-42cc-a94b-af30de9cfe40
Clavos Nacionales,1201600T3042985,Ferretería,"Clavo Pulido c/Cabeza 3"" x 10 kg","Clavos Nacionales Ferretería Clavo Pulido c/Cabeza 3"" x 10 kg",https://s3.amazonaws.com/mx-prod-shared-images/5c242b0f-575d-49b8-a052-3beb8c52fcc1
Clavos Nacionales,1201600T3030995,Ferretería,"Clavo Pulido c/Cabeza 2-1/2"" x 25 kg","Clavos Nacionales Ferretería Clavo Pulido c/Cabeza 2-1/2"" x 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/bdea78b3-4e04-434f-ac51-21ffdfe9ea1e
Clavos Nacionales,1201600T3042986,Ferretería,"Clavo Pulido c/Cabeza 4"" x 10 kg","Clavos Nacionales Ferretería Clavo Pulido c/Cabeza 4"" x 10 kg",https://s3.amazonaws.com/mx-prod-shared-images/b50b064b-5eb4-4582-8b59-edc29be433d3
Clavos Nacionales,1201600T3042984,Ferretería,"Clavo Pulido c/Cabeza 2-1/2"" x 10 kg","Clavos Nacionales Ferretería Clavo Pulido c/Cabeza 2-1/2"" x 10 kg",https://s3.amazonaws.com/mx-prod-shared-images/13898346-eaf4-48f4-b51b-78af97c4a7f9
Clavos Nacionales,1201600T3042981,Ferretería,"Clavo Pulido c/Cabeza 1"" x 10 kg","Clavos Nacionales Ferretería Clavo Pulido c/Cabeza 1"" x 10 kg",https://s3.amazonaws.com/mx-prod-shared-images/fee06cee-3973-4417-b11c-5306668ce8cb
Clavos Nacionales,1201600T3031003,Ferretería,"Clavo Concreto 2-1/2"" x 25 kg","Clavos Nacionales Ferretería Clavo Concreto 2-1/2"" x 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/bee532af-d033-4d09-bef6-1ca5f448b2b7
CNX,1614100GE043064,Plomería,Tubo PPR 20 mm x 4 m,CNX Plomería Tubo PPR 20 mm x 4 m,https://s3.amazonaws.com/mx-prod-shared-images/aa82d0c6-fded-4120-a072-19a39aeabacc
CNX,1614100GE043065,Plomería,Tubo PPR 25 mm x 4 m,CNX Plomería Tubo PPR 25 mm x 4 m,https://s3.amazonaws.com/mx-prod-shared-images/07289778-4451-465a-9b1b-e5f5a8353804
Condumex,17040100M029389,Electricos,Cable 7 hilos Thhn/Thwn 12 Awg x100 m Rojo,Condumex Electricos Cable 7 hilos Thhn/Thwn 12 Awg x100 m Rojo,https://s3.amazonaws.com/co-prod-shared-images/0c008c4b-cb68-4ea0-9302-ec25cb994bbc
Corona,260100112073368,"Aseo, Baños y Cocinas",(Sh) Sanitario Laguna 4.8 Blanco,"Corona Aseo, Baños y Cocinas (Sh) Sanitario Laguna 4.8 Blanco",https://s3.amazonaws.com/co-prod-shared-images/afc73a68-165d-4984-8899-6b11071d0e67
Cresco,1602130W1031555,Plomería,"Codo 45° Pvc Sanitario 110 mm - 4"" Cementar","Cresco Plomería Codo 45° Pvc Sanitario 110 mm - 4"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/96664592-4b1b-45b4-9c07-890c94ec3a23
Cresco,1602130W1031547,Plomería,"Codo 90° Pvc Sanitario 50  mm - 2"" Cementar","Cresco Plomería Codo 90° Pvc Sanitario 50  mm - 2"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/2755b855-d934-4458-ab75-a311425a683f
Cresco,1602140W1031561,Plomería,"Tee Sanitario Cementar110 mm - 4""","Cresco Plomería Tee Sanitario Cementar110 mm - 4""",https://s3.amazonaws.com/mx-prod-shared-images/e717ea39-1142-42a3-912e-8ea35c00755b
Cresco,1601001W1034704,Plomería,"Tubo PVC C40 1/2"" x 6 m Cementar","Cresco Plomería Tubo PVC C40 1/2"" x 6 m Cementar",https://s3.amazonaws.com/mx-prod-shared-images/71a448d5-f337-4908-a79a-4a660f73f9a8
Cresco,1602160W1031579,Plomería,"Yee Sanitario 110 mm - 4""","Cresco Plomería Yee Sanitario 110 mm - 4""",https://s3.amazonaws.com/mx-prod-shared-images/d2bfb241-76cb-4112-b3e7-4ec257f23633
Cresco,1601001W1034706,Plomería,"Tubo PVC C40  1"" x 6 m  Cementar","Cresco Plomería Tubo PVC C40  1"" x 6 m  Cementar",https://s3.amazonaws.com/mx-prod-shared-images/e90bd4f7-d121-42f0-a3e6-27d853d44f96
Cresco,1602100W1031583,Plomería,"Reducción Bushing Sanitaria 4"" x 2""","Cresco Plomería Reducción Bushing Sanitaria 4"" x 2""",https://s3.amazonaws.com/mx-prod-shared-images/b03f0f59-5067-4ea6-b4ce-43da60b0cf18
Cresco,1602140W1031560,Plomería,"Tee Sanitario Cementar75 mm - 3""","Cresco Plomería Tee Sanitario Cementar75 mm - 3""",https://s3.amazonaws.com/mx-prod-shared-images/6fbbf5c6-0710-40bd-bdf9-dd2075295a1d
Cresco,1601300W1033118,Plomería,"Tubo CPVC RD13.5 1"" x 6.1 m","Cresco Plomería Tubo CPVC RD13.5 1"" x 6.1 m",https://s3.amazonaws.com/mx-prod-shared-images/c6992de4-465b-4a27-84eb-855c4cef4371
Cresco,1601001W1034705,Plomería,"Tubo PVC C40  3/4"" x 6 m  Cementar","Cresco Plomería Tubo PVC C40  3/4"" x 6 m  Cementar",https://s3.amazonaws.com/mx-prod-shared-images/3e063dee-550e-4068-83fe-dad8fd18284b
Cresco,1602140W1031559,Plomería,"Tee Sanitario Cementar 50 mm - 2""","Cresco Plomería Tee Sanitario Cementar 50 mm - 2""",https://s3.amazonaws.com/mx-prod-shared-images/e2cc468f-9291-490d-83b3-20240b80ce3f
Cresco,1602130W1031553,Plomería,"Codo 45° Pvc Sanitario 50 mm - 2"" Cementar","Cresco Plomería Codo 45° Pvc Sanitario 50 mm - 2"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/0833ee05-5510-4256-9490-5573a32c5a1e
Cresco,1602130W1031546,Plomería,"Codo 90° Pvc Sanitario 40mm-1-1/2"" Cementar","Cresco Plomería Codo 90° Pvc Sanitario 40mm-1-1/2"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/de8c91b5-cf1b-4e29-a46a-b688b1b846ea
Cresco,1602170W1031567,Plomería,"Tapón Sanitario 110 mm - 4""","Cresco Plomería Tapón Sanitario 110 mm - 4""",https://s3.amazonaws.com/mx-prod-shared-images/16dfb117-467d-45d6-92fc-bc7218255249
Cresco,1602130W1031548,Plomería,"Codo 90° Pvc Sanitario 75 mm - 3"" Cementar","Cresco Plomería Codo 90° Pvc Sanitario 75 mm - 3"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/24094cf0-33bc-43cd-9c86-7478ccaf4919
Cresco,1602100W1031573,Plomería,"Cople Sanitario 110 mm - 4""","Cresco Plomería Cople Sanitario 110 mm - 4""",https://s3.amazonaws.com/mx-prod-shared-images/21e1c8b4-648f-4462-9566-6b2a2771bda2
Cresco,1602100W1031571,Plomería,"Cople Sanitario 50 mm - 2""","Cresco Plomería Cople Sanitario 50 mm - 2""",https://s3.amazonaws.com/mx-prod-shared-images/6c809cad-f5b9-4828-9d18-ea6e5c0a03bd
Cresco,1602130W1031549,Plomería,"Codo 90° Pvc Sanitario 110 mm - 4"" Cementar","Cresco Plomería Codo 90° Pvc Sanitario 110 mm - 4"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/a499ac5a-2a67-4ac2-98af-f90b8b7cc172
Crest,19035008M011284,Quimicos-Polvos,Adhesivo Crest Porce Bco x 20 kg,Crest Quimicos-Polvos Adhesivo Crest Porce Bco x 20 kg,https://s3.amazonaws.com/mx-prod-shared-images/7dc6697c-1122-429a-8017-bfa741655240
Croydon,1802001NZ073307,EPP,(Sh) Caja De Guantes Nitrilo Industriales 50 Pares T.L,Croydon EPP (Sh) Caja De Guantes Nitrilo Industriales 50 Pares T.L,https://s3.amazonaws.com/co-prod-shared-images/9b8c0974-2825-45ed-a7b1-1345a88182fd
Cytsa,1604300X8032258,"Aseo, Baños y Cocinas",Tanque estacionario 300 l horizontal,"Cytsa Aseo, Baños y Cocinas Tanque estacionario 300 l horizontal",https://s3.amazonaws.com/mx-prod-shared-images/1b273a00-8149-441b-b157-7a3fcc99797a
Cytsa,1604300X8032256,"Aseo, Baños y Cocinas",Tanque estacionario 120 l horizontal,"Cytsa Aseo, Baños y Cocinas Tanque estacionario 120 l horizontal",https://s3.amazonaws.com/mx-prod-shared-images/a17867f0-fce3-4d1c-bd4b-8b56c23b4440
Cytsa,1604300X8032257,"Aseo, Baños y Cocinas",Tanque estacionacio 180 l horizontal,"Cytsa Aseo, Baños y Cocinas Tanque estacionacio 180 l horizontal",https://s3.amazonaws.com/mx-prod-shared-images/a9990e82-383c-4d2f-b424-1a58ed5d90f0
DeAcero,12016001L010111,Ferretería,"Clavo Pulido C/C 3"" x 25 kg","DeAcero Ferretería Clavo Pulido C/C 3"" x 25 kg",https://s3.amazonaws.com/mx-prod-shared-images/2df8a84f-4523-44ab-ac42-b69444270f0c
Delta,12013007O026753,Ferretería,Fulminante Verde Master C - 22,Delta Ferretería Fulminante Verde Master C - 22,https://s3.amazonaws.com/co-prod-shared-images/07559115-c12d-4d4b-bc16-8c1ced6d9776
Delta,12013007O026754,Ferretería,"Clavo de fijacón Ramset 1""","Delta Ferretería Clavo de fijacón Ramset 1""",https://s3.amazonaws.com/co-prod-shared-images/9d7e2034-2c2b-4ba1-a1e2-eb8cce77a4d5
Dewalt,20023204L014570,Herramientas,"Disco Corte Fino T41 7"" X 0.055"" X 7/8""","Dewalt Herramientas Disco Corte Fino T41 7"" X 0.055"" X 7/8""",https://s3.amazonaws.com/co-prod-shared-images/e5707bd4-e39a-4fd3-b7ef-6bb692507d66
Dewalt,20023204L014567,Herramientas,"Disco Abrasivo Corte Fino P/Metal 4-1/2""","Dewalt Herramientas Disco Abrasivo Corte Fino P/Metal 4-1/2""",https://s3.amazonaws.com/co-prod-shared-images/61c27fbb-d272-481f-a370-0fe04c2fb78f
Dexter,12021003U017510,Ferretería,Cerradura Perilla Barza Cilíndrica Alcoba Níquel,Dexter Ferretería Cerradura Perilla Barza Cilíndrica Alcoba Níquel,https://s3.amazonaws.com/mx-prod-shared-images/db16ef98-a17a-44dc-91c3-faf3b87b620b
Eureka,16080100N011368,Plomería,Tinaco 750 L c. Accesorios Arena,Eureka Plomería Tinaco 750 L c. Accesorios Arena,https://s3.amazonaws.com/mx-prod-shared-images/ac8e6c8d-19d9-4548-a4c3-e39492edc22a
Eureka,16080100N011364,Plomería,Tinaco 750 L c. Accesorios Negro,Eureka Plomería Tinaco 750 L c. Accesorios Negro,https://s3.amazonaws.com/mx-prod-shared-images/d0da0ea9-c9cd-42c2-8296-490c9f4f729c
Eureka,16080100N011366,Plomería,Tinaco 450 L c. Accesorios Arena,Eureka Plomería Tinaco 450 L c. Accesorios Arena,https://s3.amazonaws.com/mx-prod-shared-images/47622153-1f6e-4dbd-962e-633c96b32fe3
Eureka,16080100N011365,Plomería,Tinaco 1100 L c. Accesorios Negro,Eureka Plomería Tinaco 1100 L c. Accesorios Negro,https://s3.amazonaws.com/mx-prod-shared-images/19d8518d-9774-4d21-a2f2-2fced8265a1b
Eureka,16080100N011369,Plomería,Tinaco 1100 L c. Accesorios Arena,Eureka Plomería Tinaco 1100 L c. Accesorios Arena,https://s3.amazonaws.com/mx-prod-shared-images/3aad5b10-a2d6-4168-a66e-4f3ed63217e2
Faucets,1610400BL037343,"Aseo, Baños y Cocinas",Sífon Flexible Multiuso,"Faucets Aseo, Baños y Cocinas Sífon Flexible Multiuso",https://s3.amazonaws.com/co-prod-shared-images/28e0aac8-d58a-4b3e-88ce-abc6d27963e5
Fiero,18033201N019710,EPP,"Bandola con Seguro de Acero 3/16""","Fiero EPP Bandola con Seguro de Acero 3/16""",https://s3.amazonaws.com/co-prod-shared-images/00c7ba09-5eea-4f07-a868-ba0bd01512da
Fleximatic,1607110K5028069,"Aseo, Baños y Cocinas",Juego De Herrajes Zero Fugas C/Flexi-Sapo,"Fleximatic Aseo, Baños y Cocinas Juego De Herrajes Zero Fugas C/Flexi-Sapo",https://s3.amazonaws.com/mx-prod-shared-images/38f8850f-444f-4301-8584-01a0fd239ffa
Fluidmaster,26015309P031295,"Aseo, Baños y Cocinas",Manija para Tanque de Sanitario,"Fluidmaster Aseo, Baños y Cocinas Manija para Tanque de Sanitario",https://s3.amazonaws.com/co-prod-shared-images/0302ba81-3a68-4dbe-b85e-fe7e20217184
Fluidmaster,26015309P023545,"Aseo, Baños y Cocinas",Valvula de Llenado con Flotador Integrado,"Fluidmaster Aseo, Baños y Cocinas Valvula de Llenado con Flotador Integrado",https://s3.amazonaws.com/co-prod-shared-images/6e390ab3-74b2-40ad-a63f-88535e756444
Fluidmaster,26015309P023547,"Aseo, Baños y Cocinas",Valvula Entrada Hidrostatica Antisifon,"Fluidmaster Aseo, Baños y Cocinas Valvula Entrada Hidrostatica Antisifon",https://s3.amazonaws.com/co-prod-shared-images/dc9ce833-21ca-468f-922e-df928c43ee83
Fluidmaster,26015309P023555,"Aseo, Baños y Cocinas",Anillo De Cera Para Instalación De Sanitario,"Fluidmaster Aseo, Baños y Cocinas Anillo De Cera Para Instalación De Sanitario",https://s3.amazonaws.com/co-prod-shared-images/def44a5b-545c-411d-8960-33d1f07e33ec
Fluidmaster,26015309P018181,"Aseo, Baños y Cocinas",Válvula de Entrada 200A Hidrostática 7/8'',"Fluidmaster Aseo, Baños y Cocinas Válvula de Entrada 200A Hidrostática 7/8''",https://s3.amazonaws.com/co-prod-shared-images/45f68be6-27b4-4eba-b0be-f828d48a787e
